id,name,started_on,finished_on,cycle_time,finished_on_week
639,US59 - Comprobar la lógica de leido de mensajes con la nueva persistencia,2017-02-24 10:18:30 UTC,2017-02-24 12:36:25 UTC,8275.217,08 - 2017
640,Cambiar representaciones de persona (summary y detail),2017-02-23 11:33:41 UTC,2017-02-24 09:11:19 UTC,77857.717,08 - 2017
632,"US48 - Ajustar estilos de los campos  complejos de persona (por ejemplo, full_address)",2017-02-22 11:22:39 +0100,2017-02-23 18:33:30 UTC,115851.559,08 - 2017
633,US59 - Aumentar la resolucion de los created_on de los timestamps para que incluyan los milisegundos,2017-02-23 11:33:21 UTC,2017-02-23 17:02:54 UTC,19772.371,08 - 2017
605,La lista de personas paginada siempre trae los mismos resultados,2017-02-22 18:49:02 UTC,2017-02-23 16:51:52 UTC,79370.114,08 - 2017
636,US59 - Añadir un tipo de mensaje para cuando se desasigna una tarea de un agente,2017-02-23 15:45:47 UTC,2017-02-23 16:47:47 UTC,3720.447,08 - 2017
641,US48 - Visualizar los mapas estáticos en la ficha de de persona,2017-02-23 12:14:01 UTC,2017-02-23 12:32:08 UTC,1086.503,08 - 2017
588,US55 - Meter API Key de Google Maps como configuración del front para los mensajes geolocalizados,2017-02-17 11:11:15 UTC,2017-02-23 11:16:37 UTC,518721.988,08 - 2017
594,US48 - Presentar los nuevos datos de persona en la ficha de persona,2017-02-09 11:24:12 UTC,2017-02-23 10:46:08 UTC,1207315.614,08 - 2017
622,US48 - Añadir source y level desde el exterior del constructor de la entidad persona,2017-02-23 10:45:45 UTC,2017-02-23 10:45:52 UTC,7.009,08 - 2017
593,US48 - Enviar nuevos datos de persona en el endpoint,2017-02-09 11:23:46 UTC,2017-02-23 10:45:36 UTC,1207309.737,08 - 2017
634,US59 - Añadir un tipo de mensaje para cuando se cierra una tarea,2017-02-22 12:29:16 UTC,2017-02-23 10:41:09 UTC,79912.501,08 - 2017
624,US59 - Añadir un endpoint HTTP para traer todos los mensajes que son publicos para la aplicación móvil para personas,2017-02-22 11:16:00 UTC,2017-02-22 12:12:24 UTC,3383.743,08 - 2017
625,"US59 - Cuando se crea un nuevo asunto por una persona, hay que añadir el mensaje utilizando el issue_messages_service_creator",2017-02-22 09:59:11 UTC,2017-02-22 10:35:48 UTC,2196.742,08 - 2017
590,US48 - Modificar el seed de persons para añadir los nuevos campos,2017-02-09 11:20:22 UTC,2017-02-20 10:28:22 UTC,947280.465,08 - 2017
631,US59 - Traer la información de person y agent mediante un join cuando nos traemos los mensajes en lugar de en la creación del mensaje,2017-02-17 15:59:10 UTC,2017-02-20 10:24:54 UTC,239143.916,08 - 2017
627,US59 - Extraer el contenido de los mensajes a un value object,2017-02-17 12:02:51 UTC,2017-02-20 10:45:42 UTC,254570.973,08 - 2017
628,US59 - Modificar IssueBatchMessages send para que utilice issue message services,2017-02-17 10:59:21 UTC,2017-02-17 12:02:39 UTC,3798.035,07 - 2017
621,US59 - Eliminar código sin utilizar de los mensajes en issue,2017-02-16 14:55:44 UTC,2017-02-17 11:19:39 UTC,73434.544,07 - 2017
626,"US59 - Cuando se crea un nuevo asunto por un agente, hay que añadir el mensaje utilizando el issue_messages_service_creator",2017-02-17 09:48:46 UTC,2017-02-17 10:48:16 UTC,3569.721,07 - 2017
603,US55 - Mostrar mensajes de geolocalización con google maps API,2017-02-15 09:26:34 UTC,2017-02-16 16:04:40 UTC,110285.917,07 - 2017
617,US48 - Añadir campo cuenta bancaria a persona,2017-02-16 15:28:40 UTC,2017-02-16 16:12:41 UTC,2641.339,07 - 2017
623,Eliminar de verdad módulo de Styleguide,2017-02-16 15:45:20 UTC,2017-02-16 15:55:29 UTC,608.714,07 - 2017
595,US59 - Conversación > La conversación no muestra mi mensaje enviado. Al recargar se ve sólo texto pero no las imágenes de mi mensaje,2017-02-16 13:01:37 UTC,2017-02-16 13:13:45 UTC,727.601,07 - 2017
618,US59 - Todos los mensajes destacados pueden llevar adjuntos,2017-02-15 10:08:34 UTC,2017-02-16 13:01:15 UTC,96760.104,07 - 2017
556,"Error al enviar un mensaje en lote: ""this.backendService.sendBatchMessage is not a function""",2017-02-15 17:08:25 UTC,2017-02-15 17:40:47 UTC,1941.568,07 - 2017
592,US48 - Modificar entity persons para que gestionar nivel y fuente de todos los campos,2017-02-09 11:23:02 UTC,2017-02-15 17:32:17 UTC,540555.034,07 - 2017
591,US48 - Añadir nuevos campos a la entity person,2017-02-09 11:20:58 UTC,2017-02-15 17:32:14 UTC,540675.499,07 - 2017
610,Mover Qlick en la barra superior a la izquierda de configuración,2017-02-15 09:11:34 UTC,2017-02-15 17:07:21 UTC,28547.192,07 - 2017
607,"El estilo de ""ruta activa"" del menú superior se pierde cuando entramos en una opción del menu sidebar",2017-02-15 11:36:05 UTC,2017-02-15 16:52:21 UTC,18975.283,07 - 2017
589,US48 - Crear migración para nuevos campos de persona,2017-02-09 11:17:13 UTC,2017-02-15 11:48:05 UTC,520251.739,07 - 2017
536,Error cuando volvemos atrás desde el detalle de un asunto,2017-01-18 16:24:38 UTC,2017-02-15 16:58:39 UTC,2421240.883,07 - 2017
586,Configuración > Grupos > Eliminados da un error de consola,2017-02-15 09:51:42 UTC,2017-02-15 09:59:30 UTC,468.204,07 - 2017
566,US59 - Extraer la persistencia de Message fuera de Issues,2017-01-26 11:41:44 UTC,2017-02-15 09:50:00 UTC,1721295.405,07 - 2017
553,Envolver router con un servicio nuestro para testear más fácilmente la navegación entre rutas,2017-01-20 10:09:07 UTC,2017-02-15 09:32:00 UTC,2244173.802,07 - 2017
587,US54 - Implementar el componente de asignación de una persona a una lista existente,2017-02-07 16:01:47 UTC,2017-02-15 00:51:54 UTC,636606.843,07 - 2017
616,US56 - Añadir checks de leído a mensajes de vídeo y otros.,2017-02-14 11:05:38 UTC,2017-02-14 11:06:49 UTC,71.327,07 - 2017
615,US56 - Arreglar visualización de contenido en mensajes tipo vídeo,2017-02-14 10:44:18 UTC,2017-02-14 11:02:59 UTC,1120.373,07 - 2017
613,US58 - Arreglar visualización en el metadato de mensaje extendido,2017-02-14 10:21:40 UTC,2017-02-14 10:22:19 UTC,38.632,07 - 2017
614,Arreglar icono de avatar por defecto.,2017-02-14 10:24:33 UTC,2017-02-14 10:29:01 UTC,268.309,07 - 2017
652,--------,2017-03-01 09:11:05 UTC,2017-03-13 16:03:24 UTC,1061539.545,11 - 2017
680,HTTPS + HTTP2 en la máquina de demo,2017-03-10 17:14:16 UTC,2017-03-10 17:14:22 UTC,5.642,10 - 2017
660,Mostrar fechas amigables en las conversaciones,2017-03-02 17:05:51 UTC,2017-03-03 12:44:09 UTC,70697.609,09 - 2017
650,Código Cuenta Cliente (CCC) en persona tiene que ser un IBAN,2017-03-01 11:20:39 UTC,2017-03-01 12:02:29 UTC,2509.071,09 - 2017
683,"Navegando entre rutas a veces aparece el error ""cannot find primary outlet""",2017-03-13 13:26:03 UTC,2017-03-13 13:26:09 UTC,6.204,11 - 2017
664,Cambiar la configuración de envío de SMS para el entorno de test de http,2017-03-03 11:30:46 UTC,2017-03-03 11:44:04 UTC,798.524,09 - 2017
629,Edición en lote > Unificar textos por defecto de los selects,2017-02-17 12:13:30 UTC,2017-03-10 11:38:18 UTC,1812287.983,10 - 2017
443,"El cambiar el asunto padre de ninguno a alguno (y viceversa) debe mostrar/ocultar el enlace ""Ver asunto padre""",2017-03-03 11:47:14 UTC,2017-03-03 17:04:29 UTC,19034.699,09 - 2017
535,"Listados de asuntos: Si no hemos seleccionado ningún asunto, el formulario de ""Nuevo asunto padre"" no debería mostrar el campo de ""Asuntos hijos seleccionados""",2017-03-06 15:45:15 UTC,2017-03-07 11:08:42 UTC,69806.899,10 - 2017
353,"Creación de un nuevo asunto padre: Cuando creo un padre sin haber elegido hijos anteriormente, aparece un campo que pone ""Asuntos hijos seleccionados"" pero está vacío y no es editable",2017-02-28 17:48:29 UTC,2017-03-01 16:35:43 UTC,82033.131,09 - 2017
514,"Asunto padre sidebar: si estamos viendo el listado de asuntos hijos de un padre, no debería salir la notificación amarilla que enlaza con ver los asuntos hijos.",2017-03-03 17:18:08 UTC,2017-03-03 18:04:45 UTC,2797.656,09 - 2017
557,"Modal edición en lote: posibilidad de dejar campos ""Sin cambios""",2017-03-02 08:54:57 UTC,2017-03-07 16:59:04 UTC,461047.073,10 - 2017
665,Al editar un grupo desaparecen el bloque central de navegación y el formulario de añadir agentes,2017-03-03 18:09:41 UTC,2017-03-03 18:14:41 UTC,300.608,09 - 2017
674,US74 - El administrador puede editar un canal existente,2017-03-09 16:48:02 UTC,2017-03-09 18:32:03 UTC,6240.917,10 - 2017
672,US72 - El administrador puede eliminar un canal existente en el listado,2017-03-08 15:36:14 UTC,2017-03-09 15:34:47 UTC,86313.536,10 - 2017
675,US65 - Extraer un componente para cada tipo de mensaje,2017-03-08 08:10:56 UTC,2017-03-08 10:23:14 UTC,7937.351,10 - 2017
671,US71 - Crear listado de canales existentes para un administrador,2017-03-07 17:25:28 UTC,2017-03-08 10:33:41 UTC,61692.999,10 - 2017
669,US65 - Animar IssueMessage cuando hay un cambio de estado,2017-03-07 09:12:34 UTC,2017-03-07 15:28:02 UTC,22527.533,10 - 2017
670,US66 - Añadir mensajes de Asignación con el nombre del Grupo,2017-03-07 11:45:50 UTC,2017-03-08 09:11:18 UTC,77127.924,10 - 2017
655,US64 - Filtrar lista de asuntos por resultado de encuesta,2017-03-03 10:07:39 UTC,2017-03-07 09:58:13 UTC,345033.561,10 - 2017
667,US65 - Añadir mensaje para el cambio de estado cerrado,2017-03-07 09:21:16 UTC,2017-03-07 13:12:59 UTC,13903.175,10 - 2017
666,US65 - Añadir mensaje para el cambio de estado de abierto,2017-03-07 08:31:08 UTC,2017-03-07 09:11:59 UTC,2451.199,10 - 2017
668,US65 - Añadir mensaje para el cambio de estado en espera,2017-03-07 09:04:36 UTC,2017-03-07 09:07:52 UTC,195.996,10 - 2017
300,Añadir loader y ok al botón Añadir agentes en edición de grupo,2017-03-03 18:10:14 UTC,2017-03-03 18:24:59 UTC,885.717,09 - 2017
442,"El cambiar asunto padre debe cambiar inmediatamente el enlace de ""Ver asunto padre"" al nuevo padre",2017-03-05 22:12:04 UTC,2017-03-05 22:24:14 UTC,730.555,09 - 2017
656,US64- Añadir resultados de encuestas a asuntos en seed,2017-03-03 09:17:53 UTC,2017-03-03 11:45:33 UTC,8860.449,09 - 2017
662,US66 - Estilos para mostrar cambios de estado en las conversaciones,2017-03-03 09:40:19 UTC,2017-03-03 09:40:49 UTC,29.57,09 - 2017
663,US66 - Estilos para mostrar cambios de asignación en la conversación,2017-03-03 09:42:04 UTC,2017-03-03 10:09:57 UTC,1672.814,09 - 2017
654,US64 - Definir interfaz para filtrar asunto por resultado de encuesta,2017-03-03 09:15:17 UTC,2017-03-03 09:33:40 UTC,1103.194,09 - 2017
661,Ocultar la barra de progreso tras enviar un mensaje con adjunto/s subido/s,2017-03-03 08:51:18 UTC,2017-03-03 09:14:52 UTC,1413.445,09 - 2017
606,US51 - Fijar la geoposición de un asunto,2017-03-02 13:18:29 UTC,2017-03-02 19:00:51 UTC,20542.662,09 - 2017
657,"US67 - Cuando un ciudadano mande un mensaje a un asunto en estado CERRADO, cambiar el estado de forma automática a ABIERTO",2017-03-02 12:34:17 UTC,2017-03-02 17:06:41 UTC,16344.719,09 - 2017
653,US70 - Está escapando el HTML de los texto que sean un enlace,2017-03-02 09:46:30 UTC,2017-03-02 09:59:13 UTC,763.572,09 - 2017
647,US57 - Añadir y mostrar mensajes de tipo audio,2017-02-25 16:34:22 UTC,2017-03-02 16:57:26 UTC,433384.59,09 - 2017
658,US59 - Añadir información sobre quien ha cambiado la asignación de un agente a un asunto,2017-03-02 08:42:49 UTC,2017-03-02 08:47:40 UTC,291.341,09 - 2017
659,US59 - Añadir información sobre quien ha desasignado un asunto,2017-03-02 08:35:08 UTC,2017-03-02 08:42:47 UTC,458.997,09 - 2017
446,Extraer un componente para las imágenes subidas y hacer la carga via AJAX,2017-03-02 08:28:00 UTC,2017-03-02 08:28:28 UTC,28.45,09 - 2017
635,US59 - Añadir un tipo de mensaje para cuando se asigna una tarea a un agente,2017-02-23 16:52:15 UTC,2017-03-01 12:48:16 UTC,503760.947,09 - 2017
637,US59 - Añadir un tipo de mensaje con la respuesta de la encuesta de satisfacción,2017-02-27 09:44:14 UTC,2017-03-01 09:10:08 UTC,170753.992,09 - 2017
651,US59 - Registrar quien ha iniciado una acción que desencadena un issue_message,2017-02-28 12:18:37 UTC,2017-02-28 17:11:19 UTC,17561.82,09 - 2017
648,US57 - Añadir ficheros adjuntos a los asuntos creados en el seed,2017-02-25 16:46:28 UTC,2017-02-28 17:11:16 UTC,260687.389,09 - 2017
649,US68 - Ajustar estilos para el componente de listas cuando hay botón y cuando no,2017-02-28 11:14:48 UTC,2017-02-28 17:11:32 UTC,21403.711,09 - 2017
646,US68 - Componente para las listas cerradas,2017-02-24 18:33:57 UTC,2017-02-28 17:11:34 UTC,340657.432,09 - 2017
